target_id	length	eff_length	est_counts	tpm
CIMG_000001-T1	793	554.077	18	6.33198
CIMG_000002-T1	336	143.832	9	12.1962
CIMG_000003-T1	1206	956.13	72	14.6775
CIMG_000004-T1	2086	1785.74	32.708	3.57003
CIMG_000004-T2	2077	1776.21	9.62843	1.05657
CIMG_000004-T3	2096	1771.07	84.6636	9.31746
CIMG_000004-T4	2156	1818.08	0	0
CIMG_000005-T1	318	130.356	1	1.49522
CIMG_000006-T1	549	343.807	1	0.566921
CIMG_000007-T1	735	522.85	687	256.104
CIMG_000008-T1	762	521.473	260	97.1804
CIMG_000009-T1	237	74.6554	14	36.5514
CIMG_000010-T1	768	507.298	57	21.9002
CIMG_000011-T1	318	130.356	15	22.4283
CIMG_000012-T1	564	294.025	116	76.8973
CIMG_000013-T1	1986	1825.23	10.7736	1.15049
CIMG_000014-T1	306	121.581	0.625733	1.00314
CIMG_000015-T1	2412	2176.41	24.6006	2.20315
CIMG_000016-T1	357	159.829	13	15.8535
CIMG_000017-T1	1452	1304.3	56	8.36849
CIMG_000018-T1	387	184.015	0	0
CIMG_000019-T1	2637	2581.28	104	7.853
CIMG_000020-T1	213	60.3429	9	29.0705
CIMG_000021-T1	597	365.343	123	65.6208
CIMG_000022-T1	462	251.018	125	97.0602
CIMG_000023-T1	3905	3653.75	385.124	20.5446
CIMG_000024-T1	796	555.284	1.24508	0.43704
CIMG_000025-T1	1509	1328.22	232	34.045
CIMG_000026-T1	318	130.356	102	152.513
CIMG_000027-T1	216	62.1118	79	247.908
CIMG_000028-T1	891	689.115	273	77.2161
CIMG_000029-T1	354	157.42	111	137.435
CIMG_000030-T1	1680	1430.06	1118	152.379
CIMG_000031-T1	213	60.3429	2	6.46012
CIMG_000032-T1	1821	1566.73	313	38.9393
CIMG_000033-T1	1263	1055.49	180.662	33.362
CIMG_000034-T1	4398	4194.7	384.338	17.8586
CIMG_000035-T1	2145	1988.45	257	25.1916
CIMG_000036-T1	2613	2402.1	70	5.67994
CIMG_000037-T1	1176	999.902	291	56.7247
CIMG_000038-T1	756	534.901	82	29.8798
CIMG_000039-T1	1644	1528.06	144	18.3678
CIMG_000040-T1	1875	1810.08	141	15.183
CIMG_000041-T1	1234	1066.2	193	35.2821
CIMG_000042-T1	1041	842.006	39	9.02789
CIMG_000043-T1	303	119.467	0	0
CIMG_000044-T1	1967	1816.8	113	12.1229
CIMG_000045-T1	2217	2028.93	119	11.4318
CIMG_000046-T1	1254	1224.31	64	10.1889
CIMG_000047-T1	1616	1462.98	297	39.569
CIMG_000048-T1	1482	1316.32	139	20.5822
CIMG_000049-T1	1305	1282.04	268	40.7445
CIMG_000050-T1	2028	1982.98	427	41.9708
CIMG_000051-T1	468	274.04	8	5.69
CIMG_000052-T1	1815	1806.8	81	8.73799
CIMG_000053-T1	4222	4133.12	169.52	7.99428
CIMG_000053-T2	4296	4200.28	23.797	1.10428
CIMG_000053-T3	4290	4185.79	18.683	0.869974
CIMG_000054-T1	1282	1093.95	323.886	57.7073
CIMG_000055-T1	2514	2093.76	349	32.489
CIMG_000056-T1	174	39.7318	0	0
CIMG_000057-T1	252	84.3178	0	0
CIMG_000058-T1	3392	3236.49	437	26.3174
CIMG_000059-T1	815	596.742	27	8.81889
CIMG_000060-T1	372	171.892	12	13.607
CIMG_000061-T1	1622	1551.63	169.417	21.2817
CIMG_000061-T2	1694	1625.87	18.5827	2.22772
CIMG_000062-T1	1402	1200.76	969.868	157.433
CIMG_000062-T2	1400	1198.86	425.132	69.1183
CIMG_000063-T1	783	633.391	10	3.07726
CIMG_000064-T1	2303	2331.9	122	10.1973
CIMG_000065-T1	270	96.118	6	12.167
CIMG_000066-T1	993	823.986	45.2178	10.6961
CIMG_000067-T1	2986	2878.13	84.8746	5.74784
CIMG_000067-T2	2486	2373.41	4.90752	0.403019
CIMG_000068-T1	4199	4113.57	0.000205705	9.74681e-06
CIMG_000068-T2	4132	4060.87	26.1776	1.25646
CIMG_000069-T1	2466	2354.48	55.8222	4.62113
CIMG_000070-T1	345	150.616	6	7.76459
CIMG_000071-T1	396	191.453	9	9.16257
CIMG_000072-T1	836	615.261	36	11.4046
CIMG_000073-T1	3596	3668.56	143.853	7.64292
CIMG_000074-T1	6430	6422.08	55.9779	1.69894
CIMG_000074-T2	7134	7192.43	130.022	3.52353
CIMG_000074-T3	7203	7164.89	0	0
CIMG_000075-T1	1839	1641.09	34	4.03815
CIMG_000076-T1	1569	1499.15	34	4.42049
CIMG_000077-T1	1672	1537.34	610	77.3387
CIMG_000078-T1	1344	1261.73	176	27.1884
CIMG_000079-T1	3729	3791.33	40	2.05639
CIMG_000080-T1	4052	4151.47	89	4.17854
CIMG_000081-T1	2146	2243.73	83	7.21016
CIMG_000082-T1	5288	5747.74	288.047	9.76795
CIMG_000083-T1	1272	1187.6	39.9528	6.55715
CIMG_000084-T1	609	364.305	0.566364	0.303017
CIMG_000085-T1	957	857.404	27.5095	6.25365
CIMG_000086-T1	8020	8319.6	146.924	3.44213
CIMG_000087-T1	2011	1824.35	392	41.8807
CIMG_000088-T1	2132	1958.59	0	0
CIMG_000088-T2	2242	2056.8	91	8.62356
CIMG_000089-T1	1941	2056.85	296	28.0495
CIMG_000090-T1	234	72.8304	26	69.5821
CIMG_000091-T1	1040	867.026	6	1.34883
CIMG_000092-T1	2583	2441.52	92	7.34452
CIMG_000093-T1	3193	3041.01	2994.63	191.939
CIMG_000094-T1	468	315.169	1572.22	972.312
CIMG_000095-T1	106	17.9543	4	43.424
CIMG_000096-T1	2487	2483.75	90	7.06272
CIMG_000097-T1	576	360.179	2	1.0823
CIMG_000098-T1	915	709.418	4	1.09899
CIMG_000099-T1	978	863.923	14	3.15857
CIMG_000100-T1	3012	2965.64	53	3.48333
CIMG_000101-T1	870	742.491	9	2.36259
CIMG_000102-T1	1880	2027.33	104.735	10.0694
CIMG_000103-T1	2343	2524.96	28	2.16143
CIMG_000104-T1	73	19.7647	0	0
CIMG_000105-T1	73	19.7647	0	0
CIMG_000106-T1	1095	991.255	44	8.65175
CIMG_000107-T1	303	119.467	18	29.3671
CIMG_000108-T1	1449	1428.47	43	5.86726
CIMG_000109-T1	3774	4125.68	132.563	6.26274
CIMG_000110-T1	1005	921.505	12.4369	2.63058
CIMG_000111-T1	447	242.774	49	39.3396
CIMG_000112-T1	726	582.179	94	31.4708
CIMG_000113-T1	4143	4061.61	407	19.5314
CIMG_000114-T1	71	19.2979	12	121.202
CIMG_000115-T1	2723	2595.3	170	12.7673
CIMG_000116-T1	4953	4985.84	143.991	5.62904
CIMG_000116-T2	4765	4817.86	365.009	14.7668
CIMG_000117-T1	1178	1006.45	49.0707	9.5031
CIMG_000117-T2	1300	1114.56	30.9293	5.40882
CIMG_000118-T1	846	698.407	1057	294.987
CIMG_000119-T1	2229	2267.23	224	19.257
CIMG_000120-T1	1128	1060.94	766	140.726
CIMG_000121-T1	423	219.502	13	11.5436
CIMG_000122-T1	639	404.05	539	260.01
CIMG_000123-T1	681	476.798	856	349.926
CIMG_000124-T1	384	181.474	44	47.258
CIMG_000125-T1	2811	2791.12	1425.48	99.5453
CIMG_000125-T2	2869	2843.86	94.5161	6.4779
CIMG_000126-T1	822	681.123	1477	422.66
CIMG_000127-T1	849	622.542	424	132.75
CIMG_000128-T1	195	50.058	5	19.4685
CIMG_000129-T1	348	152.873	7	8.9249
CIMG_000130-T1	2565	2387.21	1414	115.45
CIMG_000131-T1	3582	3430.56	132.079	7.50425
CIMG_000131-T2	3480	3336.67	91.9207	5.36954
CIMG_000132-T1	1216	997.142	286	55.9044
CIMG_000133-T1	384	181.474	48	51.5542
CIMG_000134-T1	1515	1321.25	740.943	109.304
CIMG_000135-T1	2064	1888.57	321.549	33.1857
CIMG_000136-T1	840	631.703	67	20.6728
CIMG_000137-T1	657	481.93	431	174.313
CIMG_000138-T1	231	71.0862	7	19.1933
CIMG_000139-T1	495	259.998	21	15.7429
CIMG_000140-T1	1812	1643.24	292	34.6354
CIMG_000141-T1	504	238.298	798	652.708
CIMG_000142-T1	264	92.0661	16	33.8733
CIMG_000143-T1	2479	2337.43	662	55.2023
CIMG_000144-T1	375	174.324	419	468.483
CIMG_000145-T1	726	498.155	77	30.1275
CIMG_000146-T1	390	186.496	11	11.4964
CIMG_000147-T1	2429	2216.79	586	51.5241
CIMG_000148-T1	965	719.912	578	156.489
CIMG_000149-T1	798	616.184	607	192.006
CIMG_000150-T1	753	544.159	332	118.918
CIMG_000151-T1	2236	2037.72	70	6.69563
CIMG_000152-T1	4482	4150.34	872	40.9515
CIMG_000153-T1	1116	926.255	26	5.47116
CIMG_000154-T1	681	457.502	6	2.5562
CIMG_000155-T1	5187	5016.36	344	13.3661
CIMG_000156-T1	5030	4902.31	311	12.3651
CIMG_000157-T1	1365	1176.14	208	34.4701
CIMG_000158-T1	588	313.706	46	28.5806
CIMG_000159-T1	372	171.892	527	597.574
CIMG_000160-T1	438	226.759	192	165.034
CIMG_000161-T1	1255	1061.63	280	51.4069
CIMG_000162-T1	1410	1260.84	165	25.5072
CIMG_000163-T1	1728	1561.96	236	29.4495
CIMG_000164-T1	1292	971.14	931	186.855
CIMG_000165-T1	2500	2282.72	20	1.70771
