target_id	length	eff_length	est_counts	tpm
CIMG_00013-t26_1	477	253.868	41	15.8623
CIMG_00034-t26_1	3925	3658.83	909	24.4013
CIMG_00035-t26_1	1418	1294.58	1145	86.8693
CIMG_00036-t26_1	3896	3648.08	1277.95	34.4065
CIMG_00037-t26_1	993	808.276	388.047	47.1536
CIMG_00038-t26_1	889	686.291	374	53.5246
CIMG_00039-t26_1	1032	782.876	35	4.39102
CIMG_00040-t26_1	2206	2021.26	206	10.01
CIMG_00042-t26_1	3886	3620.23	630	17.0921
CIMG_00043-t26_1	615	394.733	184	45.783
CIMG_00044-t26_1	1327	1106	325	28.8615
CIMG_00045-t26_1	1209	1027.87	55	5.2555
CIMG_00046-t26_1	1197	944.4	110	11.44
CIMG_00047-t26_1	3248	3037.23	1002.71	32.4255
CIMG_00048-t26_1	1607	1379.54	527.292	37.541
CIMG_00053-t26_1	411	197.584	1	0.497093
CIMG_00063-t26_1	1659	1396.34	1222.88	86.0166
CIMG_00064-t26_1	1494	1356.29	1097	79.4409
CIMG_00065-t26_1	2040	1799.36	282	15.3929
CIMG_00066-t26_1	1584	1237.99	231	18.3267
CIMG_00067-t26_1	2038	1752.47	53	2.9704
CIMG_00068-t26_1	4469	4520.34	729	15.8397
CIMG_00070-t26_1	1947	1747.66	119	6.68774
CIMG_00073-t26_1	2336	2227.68	3410.09	150.35
CIMG_00075-t26_1	2760	2793.49	346.152	12.1705
CIMG_00076-t26_1	535	286.97	1091	373.403
CIMG_00078-t26_1	2338	2118.73	98	4.54298
CIMG_00080-t26_1	1582	1386.03	370	26.2191
CIMG_00082-t26_1	1128	997.398	89	8.76418
CIMG_00083-t26_1	2429	2163	157.42	7.14814
CIMG_00084-t26_1	2317	2131.3	1569	72.305
CIMG_00086-t26_1	462	260.633	13	4.89896
CIMG_00087-t26_1	2315	2180.64	51	2.29708
CIMG_00088-t26_1	3176	3079.25	287	9.15434
CIMG_00089-t26_1	585	382.777	19	4.87525
CIMG_00090-t26_1	1440	1260.96	390	30.3776
CIMG_00091-t26_1	1286	1064.55	666	61.4468
CIMG_00092-t26_1	3660	3527.97	595	16.5646
CIMG_00093-t26_1	1059	793.858	1504	186.078
CIMG_00094-t26_1	1821	1530.32	291.67	18.7198
CIMG_00095-t26_1	1713	1489.07	75	4.94694
CIMG_00096-t26_1	1139	805.561	142	17.3133
CIMG_00097-t26_1	1509	1265.65	22	1.70726
CIMG_00098-t26_1	1449	1257.61	448	34.9883
CIMG_00099-t26_1	2433	2221.53	35	1.54741
CIMG_00101-t26_1	756	551.792	48	8.5439
CIMG_00103-t26_1	1305	1018.14	470	45.34
CIMG_00104-t26_1	1020	748.461	3	0.393679
CIMG_00107-t26_1	1677	1474.03	100.618	6.70438
CIMG_00108-t26_1	3601	3335.25	828.382	24.3945
CIMG_00109-t26_1	1386	1147.64	1622	138.815
CIMG_00110-t26_1	2200	1891.15	644	33.4465
CIMG_00111-t26_1	2265	1947.63	365	18.4067
CIMG_00112-t26_1	4216	3842.29	1430	36.5541
CIMG_00113-t26_1	1935	1696.76	1745	101.01
CIMG_00115-t26_1	3114	2957.4	395	13.1183
CIMG_00116-t26_1	1457	1236.15	1876	149.056
CIMG_00117-t26_1	1503	1282.74	108	8.26942
CIMG_00118-t26_1	2166	2001.8	65	3.18921
CIMG_00119-t26_1	1958	1786.99	729	40.0677
CIMG_00121-t26_1	1692	1486.63	363	23.9825
CIMG_00122-t26_1	807	548.584	17	3.04366
CIMG_00124-t26_1	1149	906.913	177	19.1689
CIMG_00125-t26_1	2238	2037.12	2605	125.597
CIMG_00126-t26_1	2394	2395.96	372	15.2494
CIMG_00127-t26_1	2003	1998.45	201	9.87852
CIMG_00128-t26_1	1089	864.007	16	1.81883
CIMG_00129-t26_1	360	156.761	18	11.2778
CIMG_00130-t26_1	1952	1650.54	0	0
CIMG_00131-t26_1	2285	1998.86	1920	94.3429
CIMG_00133-t26_1	2122	1946.58	852	42.9889
CIMG_00134-t26_1	1520	1262.77	273	21.2339
CIMG_00135-t26_1	1623	1392.59	718	50.6397
CIMG_00136-t26_1	5097	4992.34	370	7.27927
CIMG_00137-t26_1	1885	1744.64	1487	83.7133
CIMG_00138-t26_1	1693	1502.61	178	11.6349
CIMG_00139-t26_1	876	640.022	321	49.2607
CIMG_00140-t26_1	1523	1281.3	304	23.3031
CIMG_00141-t26_1	1934	1732.5	971	55.0474
CIMG_00142-t26_1	1511	1338.1	1151	84.4844
CIMG_00143-t26_1	375	168.582	78	45.4437
CIMG_00144-t26_1	1176	1022.14	34	3.26706
CIMG_00146-t26_1	1639	1430.45	999.657	68.6388
CIMG_00148-t26_1	606	364.367	527	142.057
CIMG_00151-t26_1	1344	1153.41	1989	169.371
CIMG_00152-t26_1	1882	1632.75	196	11.7904
CIMG_00153-t26_1	1697	1469.26	77	5.14731
CIMG_00154-t26_1	1038	827.692	77	9.13718
CIMG_00155-t26_1	1794	1626.31	436	26.3314
CIMG_00156-t26_1	908	653.377	63	9.47036
CIMG_00158-t26_1	1602	1434.7	154	10.5426
CIMG_00159-t26_1	1035	819.68	162	19.4116
CIMG_00161-t26_1	3216	3138.74	6335	198.236
CIMG_00162-t26_1	4098	3877.77	553	14.0066
CIMG_00165-t26_1	450	221.233	5	2.21978
CIMG_00167-t26_1	1830	1580.84	38	2.36094
CIMG_00168-t26_1	525	285.672	29	9.97059
CIMG_00170-t26_1	2061	2015.6	404	19.6865
CIMG_00171-t26_1	324	129.628	67	50.7654
CIMG_00172-t26_1	600	352.084	45	12.5532
CIMG_00174-t26_1	2941	2779.14	715.722	25.2944
CIMG_00175-t26_1	1152	884.461	137	15.2136
CIMG_00176-t26_1	885	621.311	343	54.2219
CIMG_00177-t26_1	1678	1501.09	0	0
CIMG_00177-t26_2	1762	1589.71	811	50.1063
CIMG_00178-t26_1	1914	1615.64	1808	109.912
CIMG_00179-t26_1	2648	2416.49	1495	60.7639
CIMG_00180-t26_1	2070	1837.58	134.491	7.18846
CIMG_00181-t26_1	1873	1607.22	4354.51	266.106
CIMG_00182-t26_1	1870	1894.22	186	9.64434
CIMG_00185-t26_1	2224	2186	2063	92.6912
CIMG_00186-t26_1	1560	1285.6	130.952	10.0045
CIMG_00186-t26_2	1592	1311.15	402.048	30.1174
CIMG_00187-t26_1	819	538.548	67	12.2191
CIMG_00188-t26_1	303	114.645	11	9.42382
CIMG_00189-t26_1	2448	2440.95	13	0.523087
CIMG_00190-t26_1	1981	1763.32	115.044	6.40805
CIMG_00191-t26_1	633	410.69	12.9555	3.09836
CIMG_00193-t26_1	1305	1121.11	123	10.7757
CIMG_00194-t26_1	603	378.822	37	9.59305
CIMG_00195-t26_1	1506	1480.94	46	3.05079
CIMG_00196-t26_1	3180	3130.86	1291	40.4997
CIMG_00197-t26_1	571	379.973	672	173.703
CIMG_00198-t26_1	1634	1464.89	7380	494.815
CIMG_00200-t26_1	2219	2043.8	69	3.31589
CIMG_00201-t26_1	1053	841.477	54	6.30291
CIMG_00202-t26_1	1320	1061.43	19	1.75814
CIMG_00203-t26_1	1734	1570.04	24	1.50138
CIMG_00204-t26_1	477	283.172	31	10.7523
CIMG_00205-t26_1	2557	2481.65	691	27.3481
CIMG_00206-t26_1	2589	2426.64	479	19.3874
CIMG_00207-t26_1	396	185.355	7	3.70923
CIMG_00208-t26_1	1289	1159.08	1074	91.0081
CIMG_00209-t26_1	804	672.872	153	22.3331
CIMG_00210-t26_1	1549	1430.13	579	39.7643
CIMG_00211-t26_1	1085	863.913	149	16.9397
CIMG_00212-t26_1	414	200.107	9	4.41743
CIMG_00213-t26_1	799	519.779	57	10.7708
CIMG_00215-t26_1	2387	2118.95	273	12.6541
CIMG_00216-t26_1	2273	2152.05	821	37.4697
CIMG_00217-t26_1	648	455.553	17	3.66522
CIMG_00218-t26_1	7795	7465.44	3251	42.7712
CIMG_00219-t26_1	591	363.657	10	2.70084
CIMG_00220-t26_1	2742	2605.41	4023	151.658
CIMG_00223-t26_1	1059	922.195	44	4.68619
CIMG_00224-t26_1	977	767.211	440	56.3285
CIMG_00225-t26_1	2926	2674.41	919	33.7502
CIMG_00226-t26_1	1258	1004.52	86	8.40869
CIMG_00230-t26_1	1837	1649.52	81	4.82301
CIMG_00231-t26_1	2427	2236.53	3632	159.5
CIMG_00232-t26_1	2493	2243.44	638	27.9316
CIMG_00233-t26_1	971	790.669	300	37.2663
CIMG_00234-t26_1	2302	2152.28	396	18.0712
CIMG_00235-t26_1	1076	884.193	241.303	26.8043
CIMG_00236-t26_1	1338	1064.42	669.697	61.7956
CIMG_00238-t26_1	1263	1028.54	36	3.43772
CIMG_00239-t26_1	375	168.582	11	6.40872
CIMG_00240-t26_1	5287	5101.37	1542	29.6885
CIMG_00242-t26_1	3336	3227.87	1294	39.3739
CIMG_00243-t26_1	1215	1052.64	440	41.0546
CIMG_00244-t26_1	1576	1412.16	228	15.8577
CIMG_00245-t26_1	2830	2723.71	40	1.44241
CIMG_00246-t26_1	2425	2100.79	1051	49.1371
CIMG_00249-t26_1	1410	1279.06	34	2.61083
CIMG_00250-t26_1	378	170.954	32	18.3849
CIMG_00251-t26_1	3618	3785.03	121	3.13983
CIMG_00252-t26_1	1934	1802.23	916	49.9201
CIMG_00253-t26_1	423	229.761	4.39672	1.8795
CIMG_00254-t26_1	2249	2073.34	360.357	17.0708
CIMG_00255-t26_1	1728	1416.71	271.246	18.805
CIMG_00256-t26_1	750	474.471	1022	211.559
CIMG_00259-t26_1	477	232.862	546	230.294
CIMG_00260-t26_1	2344	2246.39	259	11.3241
CIMG_00262-t26_1	1167	871.157	28	3.15683
CIMG_00263-t26_1	3681	3322.68	526.409	15.5605
CIMG_00264-t26_1	2215	2086.45	607.591	28.6018
CIMG_00265-t26_1	1048	809.818	493	59.7928
CIMG_00266-t26_1	1102	902.486	712	77.4872
CIMG_00267-t26_1	2236	2047.65	430	20.6254
CIMG_00269-t26_1	4983	4751.61	6872	142.047
CIMG_00270-t26_1	1065	807.689	398	48.3981
CIMG_00271-t26_1	4158	3902.66	2567	64.6034
CIMG_00272-t26_1	1098	814.54	1181	142.406
CIMG_00273-t26_1	1371	1220.73	491	39.505
CIMG_00274-t26_1	1035	746.317	56	7.36978
CIMG_00275-t26_1	447	244.923	35	14.0355
CIMG_00276-t26_1	2840	2595.22	412	15.5924
CIMG_00277-t26_1	1521	1307.79	122	9.16243
CIMG_00278-t26_1	1155	844.327	1	0.116327
CIMG_00280-t26_1	1636	1403.42	698.063	48.8538
CIMG_00281-t26_1	1707	1531.13	232.937	14.9423
CIMG_00282-t26_1	682	416.666	439	103.482
CIMG_00283-t26_1	513	260.076	11.6422	4.39669
CIMG_00284-t26_1	944	746.846	68.3578	8.98973
CIMG_00285-t26_1	2917	2599.95	893	33.7346
CIMG_00287-t26_1	1285	1024.24	1243	119.196
CIMG_00288-t26_1	924	687.997	161	22.9842
CIMG_00290-t26_1	2100	1930.17	212	10.7877
CIMG_00291-t26_1	3054	3045.51	906	29.2185
CIMG_00294-t26_1	2893	2555.83	410.686	15.7822
CIMG_00295-t26_1	1322	1052.21	766	71.5017
CIMG_00296-t26_1	438	256.264	2	0.766536
CIMG_00297-t26_1	1935	1792.28	831	45.5392
CIMG_00298-t26_1	321	127.468	39	30.0507
CIMG_00299-t26_1	690	451.73	177.214	38.5309
CIMG_00300-t26_1	1494	1262.47	320.786	24.9566
CIMG_00301-t26_1	1843	1662.56	183	10.811
CIMG_00302-t26_1	1073	851.693	65	7.49584
CIMG_00303-t26_1	2563	2472.52	627	24.9068
CIMG_00304-t26_1	3519	3311.82	1703	50.5055
CIMG_00305-t26_1	1071	877.991	149	16.6681
CIMG_00306-t26_1	2704	2483.6	2107	83.3245
CIMG_00307-t26_1	2230	2173.46	1115.28	50.399
CIMG_00308-t26_1	1314	1065.85	235.723	21.7218
CIMG_00309-t26_1	2018	1752.4	1782	99.8765
CIMG_00311-t26_1	1299	1033.94	48	4.55972
CIMG_00313-t26_1	1301	1038.3	216	20.4324
CIMG_00314-t26_1	961	793.36	49	6.06618
CIMG_00315-t26_1	1327	1123.77	203	17.7422
CIMG_00316-t26_1	3631	3253.03	1528	46.1345
CIMG_00317-t26_1	1291	1072.78	375	34.3328
CIMG_00318-t26_1	1338	1152.98	30	2.55557
CIMG_00319-t26_1	345	145.221	16	10.8214
CIMG_00320-t26_1	2271	1967.65	426	21.2644
CIMG_00321-t26_1	2250	2010.18	2226	108.763
CIMG_00322-t26_1	1942	1646.02	3783	225.731
CIMG_00323-t26_1	2166	1901.19	408	21.0778
CIMG_00324-t26_1	6722	6471	2258.29	34.2766
CIMG_00325-t26_1	2009	1812.83	120.711	6.54003
CIMG_00326-t26_1	630	374.309	159	41.7213
CIMG_00327-t26_1	1834	1611.71	749	45.6442
CIMG_00328-t26_1	1149	908.661	102	11.0252
CIMG_00329-t26_1	4276	3978.9	1251	30.8805
CIMG_00330-t26_1	2016	1685.73	1417.36	82.5815
CIMG_00331-t26_1	2603	2266.32	1681.64	72.8789
CIMG_00332-t26_1	2010	1803.31	516	28.104
CIMG_00333-t26_1	1300	1085.16	314.621	28.4764
CIMG_00334-t26_1	825	563.186	40.3792	7.04199
