target_id	length	eff_length	est_counts	tpm
CIMG_000001-T1	793	544.485	14	5.37055
CIMG_000002-T1	336	136.998	8	12.1969
CIMG_000003-T1	1206	946.721	115	25.3719
CIMG_000004-T1	2086	1773.61	28.6069	3.36891
CIMG_000004-T2	2077	1764.48	29.7846	3.52576
CIMG_000004-T3	2096	1760.41	42.6084	5.05544
CIMG_000004-T4	2156	1809.96	0	0
CIMG_000005-T1	318	124.095	2	3.36629
CIMG_000006-T1	549	332.187	6	3.77264
CIMG_000007-T1	735	514.889	485	196.745
CIMG_000008-T1	762	504.085	188	77.8987
CIMG_000009-T1	237	72.8063	21	60.2459
CIMG_000010-T1	768	497.553	59	24.7679
CIMG_000011-T1	318	124.095	12	20.1977
CIMG_000012-T1	564	287.363	126	91.5834
CIMG_000013-T1	1986	1810.49	27.3244	3.15232
CIMG_000014-T1	306	116.129	0	0
CIMG_000015-T1	2412	2156.06	30.6756	2.97174
CIMG_000016-T1	357	152.536	10	13.6932
CIMG_000017-T1	1452	1275.13	50	8.19013
CIMG_000018-T1	387	175.335	3.15913	3.76335
CIMG_000019-T1	2637	2555.21	128.841	10.5318
CIMG_000020-T1	213	59.1865	12	42.3482
CIMG_000021-T1	597	353.539	150	88.6196
CIMG_000022-T1	462	238.036	121	106.174
CIMG_000023-T1	3905	3638.2	307.645	17.662
CIMG_000024-T1	796	546.04	1.97253	0.754529
CIMG_000025-T1	1509	1306.17	251	40.1374
CIMG_000026-T1	318	124.095	79	132.968
CIMG_000027-T1	216	60.9128	63	216.027
CIMG_000028-T1	891	676.807	259	79.9303
CIMG_000029-T1	354	150.254	94	130.671
CIMG_000030-T1	1680	1419.44	1026	150.976
CIMG_000031-T1	213	59.1865	0	0
CIMG_000032-T1	1821	1561.07	249	33.316
CIMG_000033-T1	1263	1041.81	123.036	24.6671
CIMG_000034-T1	4398	4166.89	339.964	17.0411
CIMG_000035-T1	2145	1964.66	286	30.4057
CIMG_000036-T1	2613	2391.39	72	6.28866
CIMG_000037-T1	1176	981.914	282	59.9863
CIMG_000038-T1	756	514.894	93	37.7261
CIMG_000039-T1	1644	1501.81	162	22.5309
CIMG_000040-T1	1875	1784.62	139	16.2685
CIMG_000041-T1	1234	1053.37	249	49.3736
CIMG_000042-T1	1041	824.666	44	11.1443
CIMG_000043-T1	303	114.076	0	0
CIMG_000044-T1	1967	1804.23	143	16.5547
CIMG_000045-T1	2217	2005.33	112	11.6656
CIMG_000046-T1	1254	1213.75	67	11.5298
CIMG_000047-T1	1616	1439.44	331	48.0297
CIMG_000048-T1	1482	1304.94	161	25.7698
CIMG_000049-T1	1305	1256.16	301	50.0495
CIMG_000050-T1	2028	1954.29	513	54.8282
CIMG_000051-T1	468	260.643	12	9.61639
CIMG_000052-T1	1815	1790.65	79	9.21495
CIMG_000053-T1	4222	4102.62	310	15.7826
CIMG_000053-T2	4296	4111.12	0	0
CIMG_000053-T3	4290	4099.13	0	0
CIMG_000054-T1	1282	1086.25	353.122	67.9002
CIMG_000055-T1	2514	2087.86	252	25.2101
CIMG_000056-T1	174	39.6358	0	0
CIMG_000057-T1	252	81.5514	1.18228	3.02807
CIMG_000058-T1	3392	3215.17	464.818	30.1965
CIMG_000059-T1	815	576.112	25	9.06378
CIMG_000060-T1	372	163.862	28	35.6908
CIMG_000061-T1	1622	1536.32	198.883	27.0391
CIMG_000061-T2	1694	1611.87	27.1167	3.51385
CIMG_000062-T1	1402	1194.82	1077.4	188.345
CIMG_000062-T2	1400	1193.12	102.598	17.9609
CIMG_000063-T1	783	626.026	9	3.0028
CIMG_000064-T1	2303	2310.38	142	12.8375
CIMG_000065-T1	270	92.648	3	6.76335
CIMG_000066-T1	993	803.714	58.2303	15.133
CIMG_000067-T1	2986	2858.6	98.7697	7.21684
CIMG_000067-T2	2486	2324.69	0	0
CIMG_000068-T1	4199	4098.65	25.5015	1.29958
CIMG_000068-T2	4132	3990.05	0	0
