target_id	length	eff_length	est_counts	tpm
CIMG2_000001-T1	793	538.228	14	3.38421
CIMG2_000002-T1	336	142.065	2	1.83164
CIMG2_000003-T1	1206	926.676	101	14.1804
CIMG2_000004-T1	2086	1743.82	33.7932	2.52129
CIMG2_000004-T2	2077	1731.65	21.7596	1.63488
CIMG2_000004-T3	2096	1734.29	114.447	8.58577
CIMG2_000004-T4	2156	1791.99	0	0
CIMG2_000005-T1	318	128.489	8	8.10066
CIMG2_000006-T1	549	334.003	11	4.28487
CIMG2_000007-T1	735	500.626	998	259.366
CIMG2_000008-T1	762	498.304	206	53.7859
CIMG2_000009-T1	237	73.0996	31	55.175
CIMG2_000010-T1	768	486.367	67	17.9228
CIMG2_000011-T1	318	128.489	25	25.3146
CIMG2_000012-T1	564	294.021	53	23.4527
CIMG2_000013-T1	1986	1743.04	49.9925	3.73158
CIMG2_000014-T1	306	119.755	2.36259	2.56678
CIMG2_000015-T1	2412	2095.01	28.645	1.77893
CIMG2_000016-T1	357	158.491	7	5.7463
CIMG2_000017-T1	1452	1239.47	63	6.61301
CIMG2_000018-T1	387	182.461	5.35898	3.82126
CIMG2_000019-T1	2637	2471.95	279.641	14.7182
CIMG2_000020-T1	213	58.8309	16	35.3842
CIMG2_000021-T1	597	351.68	105	38.8452
CIMG2_000022-T1	462	240.228	157	85.0299
CIMG2_000023-T1	3905	3549.25	540.816	19.8248
CIMG2_000024-T1	796	541.504	1.14519	0.275151
CIMG2_000025-T1	1509	1271.99	483	49.4038
CIMG2_000026-T1	318	128.489	54	54.6794
CIMG2_000027-T1	216	60.6246	32	68.6746
CIMG2_000028-T1	891	647.475	465	93.4385
CIMG2_000029-T1	354	156.112	176	146.68
CIMG2_000030-T1	1680	1399.58	1409	130.981
CIMG2_000031-T1	213	58.8309	0	0
CIMG2_000032-T1	1821	1516.06	259	22.2268
CIMG2_000033-T1	1263	1025.77	185.853	23.5731
CIMG2_000034-T1	4398	4061.82	468.147	14.9954
CIMG2_000035-T1	2145	1913.83	404	27.4646
CIMG2_000036-T1	2613	2326.86	484	27.0626
CIMG2_000037-T1	1176	959.212	425	57.6461
CIMG2_000038-T1	756	503.57	49	12.6599
CIMG2_000039-T1	1644	1459.38	150	13.3727
CIMG2_000040-T1	1875	1697.92	286	21.9151
CIMG2_000041-T1	1234	1020.66	1314	167.498
CIMG2_000042-T1	1041	809.652	59	9.48089
CIMG2_000043-T1	303	117.667	0	0
CIMG2_000044-T1	1967	1763.59	1243	91.7002
CIMG2_000045-T1	2217	1951.14	239	15.9369
CIMG2_000046-T1	1254	1159.71	203	22.7741
CIMG2_000047-T1	1616	1403.38	776	71.942
CIMG2_000048-T1	1482	1267.81	337	34.5836
CIMG2_000049-T1	1305	1203.27	977	105.639
CIMG2_000050-T1	2028	1885.34	829	57.2086
CIMG2_000051-T1	468	255.114	9	4.5899
CIMG2_000052-T1	1815	1718.64	181	13.7021
CIMG2_000053-T1	4222	4028.36	430.679	13.9098
CIMG2_000053-T2	4296	4092.88	43.9351	1.39662
CIMG2_000053-T3	4290	4085.48	66.3859	2.11411
CIMG2_000054-T1	1282	1065.28	530.922	64.8426
CIMG2_000055-T1	2514	2048.28	243	15.4352
CIMG2_000056-T1	174	38.5553	0	0
CIMG2_000057-T1	252	82.6686	1	1.57382
CIMG2_000058-T1	3392	3131.31	745	30.9546
CIMG2_000059-T1	815	575.333	71	16.0559
CIMG2_000060-T1	372	170.391	24	18.3257
CIMG2_000061-T1	1622	1476.54	487.319	42.9403
CIMG2_000061-T2	1694	1549.46	69.6807	5.85097
CIMG2_000062-T1	1402	1165.16	473.035	52.8207
CIMG2_000062-T2	1400	1163.33	710.965	79.5133
CIMG2_000063-T1	783	604.893	20	4.30177
CIMG2_000064-T1	2303	2238.6	178	10.3452
CIMG2_000065-T1	270	94.5353	3	4.12879
CIMG2_000066-T1	993	778.455	134.829	22.5344
CIMG2_000067-T1	2986	2775.33	250.171	11.7278
CIMG2_000067-T2	2486	2279.15	0	0
CIMG2_000068-T1	4199	3970.85	0	0
CIMG2_000068-T2	4132	3920.94	49.4065	1.63942
CIMG2_000069-T1	2466	2254.36	62.5935	3.61244
CIMG2_000070-T1	345	149.033	19	16.5869
CIMG2_000071-T1	396	189.857	26	17.8173
CIMG2_000072-T1	836	568.822	27	6.17566
CIMG2_000073-T1	3596	3526.67	150.856	5.56538
CIMG2_000074-T1	6430	6225.47	733.786	15.3353
CIMG2_000074-T2	7134	6952.47	378.845	7.08955
