target_id	length	eff_length	est_counts	tpm
CIMG2_000001-T1	793	549.739	2	1.43828
CIMG2_000002-T1	336	151.128	38	99.4052
CIMG2_000003-T1	1206	916.043	48	20.7155
CIMG2_000004-T1	2086	1697.98	22.9546	5.3445
CIMG2_000004-T2	2077	1684.46	128.868	30.2451
CIMG2_000004-T3	2096	1684.9	5.64156	1.32372
CIMG2_000004-T4	2156	1745.76	90.5356	20.5024
CIMG2_000005-T1	318	137.173	11	31.7025
CIMG2_000006-T1	549	332.145	13	15.4734
CIMG2_000007-T1	735	517.068	82	62.6954
CIMG2_000008-T1	762	517.733	23	17.5627
CIMG2_000009-T1	237	79.7538	5	24.7849
CIMG2_000010-T1	768	489.997	2	1.61364
CIMG2_000011-T1	318	137.173	0	0
CIMG2_000012-T1	564	297.165	1	1.33037
CIMG2_000013-T1	1986	1739.73	12.5596	2.85406
CIMG2_000014-T1	306	128.181	0	0
CIMG2_000015-T1	2412	2065.57	1.44044	0.275692
CIMG2_000016-T1	357	168.181	1	2.35068
CIMG2_000017-T1	1452	1239.66	0	0
CIMG2_000018-T1	387	193.505	0	0
CIMG2_000019-T1	2637	2443.99	61	9.86735
CIMG2_000020-T1	213	64.6538	4	24.4588
CIMG2_000021-T1	597	360.973	14	15.3329
CIMG2_000022-T1	462	245.76	21	33.7814
CIMG2_000023-T1	3905	3461.33	128	14.6196
CIMG2_000024-T1	796	583.924	0	0
CIMG2_000025-T1	1509	1281.08	75	23.1448
CIMG2_000026-T1	318	137.173	2	5.76408
CIMG2_000027-T1	216	66.4396	1	5.95035
CIMG2_000028-T1	891	656.166	82	49.4048
CIMG2_000029-T1	354	165.67	48	114.542
CIMG2_000030-T1	1680	1391.83	349	99.1311
CIMG2_000031-T1	213	64.6538	0	0
CIMG2_000032-T1	1821	1467.57	6	1.6163
CIMG2_000033-T1	1263	1012.84	12.6182	4.92524
CIMG2_000034-T1	4398	3973.16	62.3818	6.20713
CIMG2_000035-T1	2145	1905.78	35	7.26047
CIMG2_000036-T1	2613	2314.07	147	25.1137
CIMG2_000037-T1	1176	993.939	103	40.9682
CIMG2_000038-T1	756	526.844	5	3.75196
CIMG2_000039-T1	1644	1462.16	50	13.519
CIMG2_000040-T1	1875	1716.88	90	20.7239
CIMG2_000041-T1	1234	1030.38	124	47.5768
CIMG2_000042-T1	1041	821.693	21	10.1037
CIMG2_000043-T1	303	125.869	0	0
CIMG2_000044-T1	1967	1759.06	182	40.9035
CIMG2_000045-T1	2217	1945.09	37	7.52022
CIMG2_000046-T1	1254	1160.77	47	16.0074
CIMG2_000047-T1	1616	1404.79	181	50.9372
CIMG2_000048-T1	1482	1264.3	119	37.2106
CIMG2_000049-T1	1305	1223.71	1615	521.751
CIMG2_000050-T1	2028	1880.3	116	24.3893
CIMG2_000051-T1	468	264.801	11	16.4226
CIMG2_000052-T1	1815	1710.21	97	22.4228
CIMG2_000053-T1	4222	3973.92	235.969	23.475
CIMG2_000053-T2	4296	4035.41	74.2381	7.27293
CIMG2_000053-T3	4290	4028.94	70.7927	6.94652
CIMG2_000054-T1	1282	1047.01	494	186.529
CIMG2_000055-T1	2514	2013.37	29	5.69433
CIMG2_000056-T1	174	43.0742	0	0
CIMG2_000057-T1	252	89.7173	0	0
CIMG2_000058-T1	3392	3115.97	228	28.9275
CIMG2_000059-T1	815	589.362	37	24.8193
CIMG2_000060-T1	372	180.85	2	4.37201
CIMG2_000061-T1	1622	1478.47	318.634	85.202
CIMG2_000061-T2	1694	1550.33	6.36579	1.6233
CIMG2_000062-T1	1402	1170.65	179.987	60.7834
CIMG2_000062-T2	1400	1169.11	0.0126014	0.00426122
CIMG2_000063-T1	783	611.863	28	18.0914
CIMG2_000064-T1	2303	2206.55	170	30.4582
CIMG2_000065-T1	270	102.042	3	11.6228
CIMG2_000066-T1	993	806.771	21.658	10.613
CIMG2_000067-T1	2986	2752.45	52.342	7.51796
CIMG2_000067-T2	2486	2263.73	0	0
CIMG2_000068-T1	4199	3903.34	15.1729	1.53674
CIMG2_000068-T2	4132	3856.29	8.24944	0.845716
CIMG2_000069-T1	2466	2227.26	10.5777	1.87754
CIMG2_000070-T1	345	158.355	11	27.4619
CIMG2_000071-T1	396	201.311	11	21.6021
CIMG2_000072-T1	836	579.951	4	2.72671
CIMG2_000073-T1	3596	3486.21	101.693	11.532
CIMG2_000074-T1	6430	6129.24	407.899	26.3097
CIMG2_000074-T2	7134	6858.1	2.67285	0.154078
CIMG2_000074-T3	7203	6951.33	168.428	9.57891
CIMG2_000075-T1	1839	1552.49	11	2.80114
CIMG2_000076-T1	1569	1417.93	10	2.78814
CIMG2_000077-T1	1672	1470.31	478	128.526
CIMG2_000078-T1	1344	1216.77	148	48.0866
CIMG2_000079-T1	3729	3650.59	292	31.622
CIMG2_000080-T1	4052	3953.37	142	14.2001
CIMG2_000081-T1	2146	2124.38	181	33.6833
CIMG2_000082-T1	5288	5404.6	477.532	34.9307
CIMG2_000083-T1	1272	1141.99	12.4684	4.31635
CIMG2_000084-T1	609	371.223	1.12705	1.20027
CIMG2_000085-T1	957	828.004	65.993	31.509
CIMG2_000086-T1	8020	7879.3	145.88	7.31943
CIMG2_000087-T1	2011	1738.83	361	82.0766
CIMG2_000088-T1	2132	1868.73	67.0183	14.1781
CIMG2_000088-T2	2242	1964.14	18.9817	3.8206
CIMG2_000089-T1	1941	1972.04	99	19.8468
CIMG2_000090-T1	234	77.8359	17	86.3453
CIMG2_000091-T1	1040	836.614	3	1.41764
CIMG2_000092-T1	2583	2329.27	53	8.99552
CIMG2_000093-T1	3193	2892.63	2259.89	308.862
CIMG2_000094-T1	468	293.105	983.745	1326.87
CIMG2_000095-T1	106	17.7283	4	89.1996
CIMG2_000096-T1	2487	2350.88	230	38.6782
CIMG2_000097-T1	576	374.201	13	13.7344
CIMG2_000098-T1	915	685.831	13	7.49369
CIMG2_000099-T1	978	811.923	65	31.6496
