target_id	length	eff_length	est_counts	tpm
CIMG2_000001-T1	793	545.514	14	5.3598
CIMG2_000002-T1	336	136.963	8	12.1987
CIMG2_000003-T1	1206	946.612	115	25.3718
CIMG2_000004-T1	2086	1773.51	28.6073	3.36874
CIMG2_000004-T2	2077	1764.4	29.7825	3.52526
CIMG2_000004-T3	2096	1760.29	42.6102	5.0554
CIMG2_000004-T4	2156	1809.84	0	0
CIMG2_000005-T1	318	124.082	2	3.36626
CIMG2_000006-T1	549	332.159	6	3.77252
CIMG2_000007-T1	735	514.845	485	196.739
CIMG2_000008-T1	762	504.015	188	77.9005
CIMG2_000009-T1	237	72.6671	21	60.3542
CIMG2_000010-T1	768	497.72	59	24.7567
CIMG2_000011-T1	318	124.082	12	20.1976
CIMG2_000012-T1	564	287.246	126	91.61
CIMG2_000013-T1	1986	1810.45	27.3253	3.15212
CIMG2_000014-T1	306	116.084	0	0
CIMG2_000015-T1	2412	2156.23	30.6747	2.97106
CIMG2_000016-T1	357	152.555	10	13.6899
CIMG2_000017-T1	1452	1275.21	50	8.18866
CIMG2_000018-T1	387	175.428	3.15278	3.75336
CIMG2_000019-T1	2637	2554.86	128.847	10.5325
CIMG2_000020-T1	213	59.1927	12	42.3389
CIMG2_000021-T1	597	354.922	150	88.2641
CIMG2_000022-T1	462	237.923	121	106.212
CIMG2_000023-T1	3905	3638.53	307.647	17.6585
CIMG2_000024-T1	796	547.393	1.96829	0.750958
CIMG2_000025-T1	1509	1306.2	251	40.132
CIMG2_000026-T1	318	124.082	79	132.967
CIMG2_000027-T1	216	60.922	63	215.97
CIMG2_000028-T1	891	676.771	259	79.9252
CIMG2_000029-T1	354	150.279	94	130.634
CIMG2_000030-T1	1680	1419.61	1026	150.94
CIMG2_000031-T1	213	59.1927	0	0
CIMG2_000032-T1	1821	1561.36	249	33.3059
CIMG2_000033-T1	1263	1041.71	123.041	24.6678
CIMG2_000034-T1	4398	4166.81	339.959	17.0392
CIMG2_000035-T1	2145	1964.63	286	30.4027
