target_id	length	eff_length	est_counts	tpm
CIMG2_000001-T1	793	528.595	21	3.8798
CIMG2_000002-T1	336	138.992	4	2.81051
CIMG2_000003-T1	1206	920.064	160	16.983
CIMG2_000004-T1	2086	1701.67	83.4926	4.79165
CIMG2_000004-T2	2077	1694.63	40.2557	2.31988
CIMG2_000004-T3	2096	1696.96	69.2517	3.9854
CIMG2_000004-T4	2156	1751.32	0	0
CIMG2_000005-T1	318	125.77	16	12.4239
CIMG2_000006-T1	549	325.484	10	3.00043
CIMG2_000007-T1	735	497.464	1260	247.356
CIMG2_000008-T1	762	494.461	253	49.9692
CIMG2_000009-T1	237	73.0492	36	48.1283
CIMG2_000010-T1	768	479.816	81	16.4863
CIMG2_000011-T1	318	125.77	27	20.9653
CIMG2_000012-T1	564	282.897	56	19.3319
CIMG2_000013-T1	1986	1735.12	82.7449	4.65719
CIMG2_000014-T1	306	117.191	0.249751	0.208127
CIMG2_000015-T1	2412	2076.01	31.0054	1.45855
CIMG2_000016-T1	357	155.16	19	11.9588
CIMG2_000017-T1	1452	1214.3	93	7.47945
CIMG2_000018-T1	387	178.819	8.30415	4.53519
CIMG2_000019-T1	2637	2465.79	395.696	15.6718
CIMG2_000020-T1	213	59.67	29	47.4631
CIMG2_000021-T1	597	344.318	183	51.9044
CIMG2_000022-T1	462	235.841	209	86.5449
CIMG2_000023-T1	3905	3518.92	674.403	18.7164
CIMG2_000024-T1	796	560.528	0	0
CIMG2_000025-T1	1509	1267.13	609	46.9363
CIMG2_000026-T1	318	125.77	38	29.5068
CIMG2_000027-T1	216	61.3638	28	44.5615
CIMG2_000028-T1	891	652.154	654	97.9356
CIMG2_000029-T1	354	152.803	206	131.658
CIMG2_000030-T1	1680	1384.48	1970	138.961
CIMG2_000031-T1	213	59.67	0	0
CIMG2_000032-T1	1821	1492.55	281	18.3862
CIMG2_000033-T1	1263	1004.32	269.025	26.1598
CIMG2_000034-T1	4398	4022.77	641.975	15.585
CIMG2_000035-T1	2145	1904.64	577	29.5853
CIMG2_000036-T1	2613	2313.15	650	27.4424
CIMG2_000037-T1	1176	952.891	622	63.7472
CIMG2_000038-T1	756	501.466	50	9.73737
CIMG2_000039-T1	1644	1457.49	264	17.6893
CIMG2_000040-T1	1875	1695.78	417	24.0149
CIMG2_000041-T1	1234	1013.84	1912	184.176
CIMG2_000042-T1	1041	805.946	123	14.9043
CIMG2_000043-T1	303	115.145	0	0
CIMG2_000044-T1	1967	1757.09	1603	89.0947
CIMG2_000045-T1	2217	1938.44	331	16.6759
CIMG2_000046-T1	1254	1150.66	295	25.0375
CIMG2_000047-T1	1616	1400.25	981	68.4192
CIMG2_000048-T1	1482	1260.98	572	44.2996
CIMG2_000049-T1	1305	1204.94	1230	99.6906
CIMG2_000050-T1	2028	1877.74	1109	57.6779
CIMG2_000051-T1	468	250.137	27	10.5414
CIMG2_000052-T1	1815	1706.64	234	13.3902
CIMG2_000053-T1	4222	3978.1	696.981	17.1103
CIMG2_000053-T2	4296	4043.19	18.8491	0.455282
CIMG2_000053-T3	4290	4034.29	76.1702	1.84388
CIMG2_000054-T1	1282	1050.37	777.173	72.2584
CIMG2_000055-T1	2514	2038.43	356	17.0557
CIMG2_000056-T1	174	40.6545	0	0
CIMG2_000057-T1	252	82.0966	1.07061	1.27356
CIMG2_000058-T1	3392	3123.19	1112.93	34.8003
CIMG2_000059-T1	815	569.191	84	14.4123
CIMG2_000060-T1	372	166.996	22	12.8656
CIMG2_000061-T1	1622	1468.01	682.594	45.4096
CIMG2_000061-T2	1694	1542.01	61.4061	3.88899
CIMG2_000062-T1	1402	1146.66	720.575	61.3701
CIMG2_000062-T2	1400	1144.89	758.425	64.6939
CIMG2_000063-T1	783	602.546	27	4.3761
CIMG2_000064-T1	2303	2217.1	234	10.3073
CIMG2_000065-T1	270	93.2927	4	4.18722
CIMG2_000066-T1	993	778.297	183.747	23.0563
CIMG2_000067-T1	2986	2753.16	346.942	12.3066
CIMG2_000067-T2	2486	2270.05	13.3109	0.572646
CIMG2_000068-T1	4199	3954.28	18.3498	0.453186
CIMG2_000068-T2	4132	3904.54	47.1105	1.17832
CIMG2_000069-T1	2466	2242.32	88.5397	3.85615
CIMG2_000070-T1	345	145.729	19	12.7327
CIMG2_000071-T1	396	186.051	30	15.7472
CIMG2_000072-T1	836	563.927	30	5.19532
CIMG2_000073-T1	3596	3490.37	170.997	4.78444
CIMG2_000074-T1	6430	6188.77	913.144	14.4095
CIMG2_000074-T2	7134	6921.54	776.759	10.9597
CIMG2_000074-T3	7203	7015.39	21.0975	0.293692
CIMG2_000075-T1	1839	1559.75	67	4.19502
CIMG2_000076-T1	1569	1397.65	66	4.61167
CIMG2_000077-T1	1672	1470.5	1794	119.144
CIMG2_000078-T1	1344	1192.45	411	33.6602
CIMG2_000079-T1	3729	3651.64	432	11.5534
CIMG2_000080-T1	4052	3947.66	369	9.12852
CIMG2_000081-T1	2146	2118.35	202	9.3125
CIMG2_000082-T1	5288	5419.82	738.794	13.3123
CIMG2_000083-T1	1272	1113.19	152.206	13.3529
CIMG2_000084-T1	609	345.944	0	0
CIMG2_000085-T1	957	807.738	139.2	16.8299
CIMG2_000086-T1	8020	7964.55	348.8	4.2769
CIMG2_000087-T1	2011	1744.87	207	11.5857
CIMG2_000088-T1	2132	1869.5	48.7448	2.54633
CIMG2_000088-T2	2242	1966.69	174.255	8.65294
CIMG2_000089-T1	1941	1945.42	630	31.6257
CIMG2_000090-T1	234	71.2793	40	54.8037
CIMG2_000091-T1	1040	820.034	13	1.54819
CIMG2_000092-T1	2583	2325.62	231	9.70035
CIMG2_000093-T1	3193	2909.67	10136.8	340.23
CIMG2_000094-T1	468	277.158	4265.64	1503.04
CIMG2_000095-T1	106	19.1622	3	15.2893
CIMG2_000096-T1	2487	2348.3	203	8.4422
CIMG2_000097-T1	576	346.295	10	2.82011
CIMG2_000098-T1	915	669.967	13	1.89497
CIMG2_000099-T1	978	816.442	63	7.53578
CIMG2_000100-T1	3012	2857.89	205	7.00523
CIMG2_000101-T1	870	702.811	41	5.69717
CIMG2_000102-T1	1880	1889.68	191.687	9.90645
CIMG2_000103-T1	2343	2379.5	65	2.66772
CIMG2_000104-T1	73	20.0852	0.333333	1.62075
CIMG2_000105-T1	73	20.0852	0.333333	1.62075
CIMG2_000106-T1	1095	932.215	222	23.2568
CIMG2_000107-T1	303	115.145	62	52.585
CIMG2_000108-T1	1449	1346.8	117	8.48393
CIMG2_000109-T1	3774	3882.59	530.101	13.3337
CIMG2_000110-T1	1005	852.976	28.899	3.30872
CIMG2_000111-T1	447	228.023	192	82.2309
CIMG2_000112-T1	726	539.758	350	63.3261
CIMG2_000113-T1	4143	3903.58	1836	45.9328
CIMG2_000114-T1	71	19.9458	4.57143	22.3827
CIMG2_000115-T1	2723	2493.8	737	28.8615
CIMG2_000116-T1	4953	4760.54	991.534	20.3407
CIMG2_000116-T2	4765	4596.91	1717.47	36.4868
CIMG2_000117-T1	1178	963.029	25.1333	2.54873
CIMG2_000117-T2	1300	1064.48	68.8667	6.3181
CIMG2_000118-T1	846	659.698	2752	407.396
CIMG2_000119-T1	2229	2143.67	921	41.958
CIMG2_000120-T1	1128	986.9	3653	361.485
CIMG2_000121-T1	423	208.362	25	11.7175
CIMG2_000122-T1	639	389.158	598	150.068
CIMG2_000123-T1	681	441.583	761	168.301
CIMG2_000124-T1	384	176.435	66	36.5319
CIMG2_000125-T1	2811	2616.19	2108.84	78.7207
CIMG2_000125-T2	2869	2671.99	294.157	10.7512
CIMG2_000126-T1	822	635.178	2592	398.522
CIMG2_000127-T1	849	586.455	462	76.9344
CIMG2_000128-T1	195	50.3402	11	21.3398
CIMG2_000129-T1	348	148.07	5	3.29774
CIMG2_000130-T1	2565	2295.01	465	19.7871
CIMG2_000131-T1	3582	3270.8	951.458	28.4085
CIMG2_000131-T2	3480	3178.21	67.5424	2.07543
CIMG2_000132-T1	1216	957.343	610	62.2265
CIMG2_000133-T1	384	176.435	124	68.6356
CIMG2_000134-T1	1515	1268.12	2054.69	158.233
CIMG2_000135-T1	2064	1802.24	731	39.6113
CIMG2_000136-T1	840	610.877	149	23.8202
CIMG2_000137-T1	657	458.033	548	116.841
CIMG2_000138-T1	231	69.5733	11	15.4406
CIMG2_000139-T1	495	249.206	79	30.9587
CIMG2_000140-T1	1812	1583.49	630	38.8544
CIMG2_000141-T1	504	231.792	1670	703.61
CIMG2_000142-T1	264	89.5068	19	20.7306
CIMG2_000143-T1	2479	2205.18	1684	74.5782
CIMG2_000144-T1	375	169.293	333	192.096
CIMG2_000145-T1	726	464.406	103	21.6597
CIMG2_000146-T1	390	181.213	31	16.7065
CIMG2_000147-T1	2429	2099.93	428.095	19.909
CIMG2_000148-T1	965	690.495	617	87.2646
CIMG2_000149-T1	798	583.148	1454	243.5
CIMG2_000150-T1	753	517.728	1029	194.101
CIMG2_000151-T1	2236	1963.21	190	9.45147
CIMG2_000152-T1	4482	4004.58	2062	50.2858
CIMG2_000153-T1	1116	856.89	93	10.5992
CIMG2_000154-T1	681	424.914	45	10.3425
CIMG2_000155-T1	5187	4829.32	1239	25.0553
CIMG2_000156-T1	5030	4716.79	1171	24.2451
CIMG2_000157-T1	1365	1128.3	1004	86.9006
CIMG2_000158-T1	588	304.22	140	44.9422
CIMG2_000159-T1	372	166.996	1388	811.703
CIMG2_000160-T1	438	221.076	310	136.941
CIMG2_000161-T1	1255	1020.14	649	62.1294
CIMG2_000162-T1	1410	1174.93	561	46.6299
CIMG2_000163-T1	1728	1492.05	576	37.7009
CIMG2_000164-T1	1292	940.828	1012	105.047
CIMG2_000165-T1	2500	2188.63	58	2.58803
CIMG2_000166-T1	129	23.1579	31	130.73
CIMG2_000167-T1	312	121.472	54	43.414
CIMG2_000168-T1	957	702.635	1625	225.859
CIMG2_000169-T1	2961	2700.66	7830.56	283.163
CIMG2_000170-T1	1665	1460.67	74.4353	4.9767
CIMG2_000171-T1	1002	834.399	173	20.2482
CIMG2_000172-T1	1377	1307.95	145	10.8266
CIMG2_000173-T1	441	239.128	32	13.0687
CIMG2_000174-T1	6369	6167.33	1241.07	19.6523
CIMG2_000175-T1	507	291.237	89	29.844
CIMG2_000176-T1	888	669.981	123	17.929
CIMG2_000177-T1	1359	1175.68	475	39.4564
CIMG2_000178-T1	1470	1168.37	757	63.2747
CIMG2_000179-T1	2214	1917.86	1477	75.2104
CIMG2_000180-T1	1722	1467.06	96.2527	6.40734
CIMG2_000181-T1	3873	3466.48	624.016	17.58
CIMG2_000181-T2	3445	3046.06	23.7315	0.760852
CIMG2_000182-T1	1731	1528.98	296	18.9062
CIMG2_000183-T1	867	651.55	255	38.2214
CIMG2_000184-T1	672	453.033	91	19.6167
CIMG2_000185-T1	1461	1270.45	299	22.9841
CIMG2_000186-T1	528	286.83	733	249.571
CIMG2_000187-T1	2085	1891.4	222	11.4626
CIMG2_000188-T1	1644	1441.94	143	9.68508
CIMG2_000189-T1	306	117.191	35	29.1668
CIMG2_000190-T1	2138	1845.83	561	29.6815
CIMG2_000191-T1	1314	1035.58	165	15.5601
CIMG2_000192-T1	309	119.282	21	17.1932
CIMG2_000193-T1	1089	785.617	160	19.8894
CIMG2_000194-T1	2379	2259.23	1902.34	82.2321
CIMG2_000195-T1	336	138.992	106	74.4784
CIMG2_000196-T1	342	143.393	18	12.2591
CIMG2_000197-T1	2019	1686.46	406	23.5105
CIMG2_000198-T1	645	388.292	70	17.6057
CIMG2_000199-T1	420	205.864	36	17.0779
CIMG2_000200-T1	339	141.214	20	13.8313
CIMG2_000201-T1	78	20.2326	2.8	13.5151
CIMG2_000202-T1	423	208.362	59	27.6533
CIMG2_000203-T1	1780	1507.35	472.007	30.5806
CIMG2_000203-T2	1833	1548.69	90.9933	5.73799
CIMG2_000204-T1	78	20.2326	2.8	13.5151
CIMG2_000205-T1	3656	3425.8	961.774	27.4172
CIMG2_000206-T1	1134	894.565	100.226	10.9416
CIMG2_000207-T1	2131	1773.02	230.762	12.7105
CIMG2_000207-T2	2122	1770.37	212.238	11.7077
CIMG2_000208-T1	1432	1186.51	778	64.0355
CIMG2_000209-T1	2629	2402.1	587	23.865
CIMG2_000210-T1	3447	3242.93	530	15.9607
CIMG2_000211-T1	103	19.1138	8	40.8749
CIMG2_000212-T1	1131	852.875	45	5.15277
CIMG2_000213-T1	1231	950.181	719.94	73.9952
CIMG2_000213-T2	1531	1244.75	80.0595	6.28122
CIMG2_000214-T1	1218	922.528	294	31.123
CIMG2_000215-T1	2955	2669.62	1124	41.1178
CIMG2_000216-T1	1734	1476.71	1094	72.3494
CIMG2_000217-T1	1548	1334.81	44749	3273.98
CIMG2_000218-T1	423	208.362	48	22.4976
CIMG2_000219-T1	450	231.255	407	171.877
CIMG2_000220-T1	8633	8378.61	1400.12	16.3195
CIMG2_000221-T1	1182	894.418	92.8811	10.1415
CIMG2_000222-T1	861	654.165	64	9.55446
CIMG2_000223-T1	2704	2423.58	143	5.76226
CIMG2_000224-T1	3244	2898.82	38.5231	1.29782
CIMG2_000224-T2	3297	2959.92	80.8754	2.6684
CIMG2_000224-T3	3174	2848.29	58.6015	2.00927
CIMG2_000226-T1	3302	2948.55	1561.43	51.7161
CIMG2_000226-T2	3236	2895.01	336.573	11.3538
CIMG2_000227-T1	72	20.0338	0	0
CIMG2_000228-T1	2696	2541.74	1567	60.2077
CIMG2_000229-T1	1305	1054.67	753	69.7258
CIMG2_000230-T1	1161	946.483	518	53.4479
CIMG2_000231-T1	2281	2057.45	174	8.25911
CIMG2_000232-T1	72	20.0338	9	43.8725
CIMG2_000233-T1	1233	954.447	460	47.0673
CIMG2_000234-T1	474	236.64	27	11.1427
CIMG2_000235-T1	1662	1421.12	381	26.1823
CIMG2_000236-T1	1122	869.593	154	17.2949
CIMG2_000237-T1	754	510.511	1	0.191297
CIMG2_000238-T1	74	20.3169	2.5	12.017
CIMG2_000239-T1	522	305.524	69	22.0555
CIMG2_000240-T1	1059	800.094	365	44.5518
CIMG2_000241-T1	1431	1206.42	36	2.9142
CIMG2_000242-T1	939	699.337	1225	171.066
CIMG2_000243-T1	1635	1437.17	301	20.4537
CIMG2_000244-T1	564	307.125	1.66897	0.530696
CIMG2_000245-T1	2403	2082.64	1555.33	72.9327
CIMG2_000246-T1	97	19.1717	4	20.3757
CIMG2_000247-T1	378	171.613	136	77.3933
CIMG2_000248-T1	822	543.774	296	53.1602
CIMG2_000249-T1	1455	1127.91	323	27.9668
CIMG2_000250-T1	813	567.89	347	59.6731
CIMG2_000251-T1	2442	2189.91	1267	56.502
CIMG2_000252-T1	348	148.07	133.62	88.1288
CIMG2_000253-T1	2304	2012.81	1113.38	54.02
CIMG2_000254-T1	1068	838.04	1183	137.859
CIMG2_000255-T1	363	159.922	71	43.3574
CIMG2_000256-T1	258	85.8143	76	86.4903
CIMG2_000257-T1	3487	3158.24	541.043	16.7302
CIMG2_000257-T2	3048	2751.51	227.957	8.09087
CIMG2_000258-T1	3252	3031.75	1516	48.8337
CIMG2_000259-T1	1875	1594.19	1217	74.5527
CIMG2_000260-T1	3066	2817.26	1539.04	53.3501
CIMG2_000260-T2	3335	3056.59	79.9063	2.55304
CIMG2_000260-T3	2240	2104.95	368.056	17.0759
CIMG2_000261-T1	84	20.2571	0	0
CIMG2_000262-T1	357	155.16	37	23.2882
CIMG2_000263-T1	1536	1253.42	81	6.31104
CIMG2_000264-T1	360	157.529	61	37.8165
CIMG2_000265-T1	1317	1035.02	184	17.3614
CIMG2_000266-T1	978	791.35	977	120.57
CIMG2_000267-T1	1404	1176.77	354	29.3783
CIMG2_000268-T1	162	35.5484	396	1087.9
CIMG2_000269-T1	2514	2283.51	1107.95	47.3838
CIMG2_000270-T1	372	166.996	164.053	95.9385
CIMG2_000271-T1	1085	872.294	5425	607.366
CIMG2_000272-T1	651	418.188	5725	1336.96
CIMG2_000273-T1	324	130.218	2502	1876.42
CIMG2_000274-T1	597	337.656	218	63.0515
CIMG2_000275-T1	2117	1790.36	573	31.2556
CIMG2_000276-T1	777	476.246	728	149.284
CIMG2_000277-T1	4016	3598.85	620.902	16.8489
CIMG2_000277-T2	4124	3691.14	127.061	3.36174
CIMG2_000277-T3	4069	3637.93	85.9029	2.30604
CIMG2_000277-T4	4081	3660.59	74.5784	1.98964
CIMG2_000278-T1	825	582.586	115.556	19.3708
CIMG2_000279-T1	1419	1202.88	113	9.17419
CIMG2_000280-T1	2838	2483.06	79	3.10709
CIMG2_000281-T1	599	343.693	36	10.2293
CIMG2_000282-T1	2336	2049.24	372	17.7282
CIMG2_000283-T1	2310	1955.46	692	34.5597
CIMG2_000284-T1	957	738.475	323	42.715
CIMG2_000285-T1	744	483.129	1057.43	213.749
CIMG2_000286-T1	1409	1132.55	1194.57	103.007
CIMG2_000287-T1	999	733.302	950	126.519
CIMG2_000288-T1	1182	961.618	292	29.6547
CIMG2_000289-T1	1104	934.833	55	5.74569
CIMG2_000290-T1	831	626.858	33	5.14112
CIMG2_000291-T1	324	130.218	37	27.7488
CIMG2_000292-T1	1997	1726.23	1181.65	66.8502
CIMG2_000292-T2	1816	1554.41	78.3518	4.92264
CIMG2_000293-T1	4607	4281.55	2017	46.0065
CIMG2_000294-T1	1803	1631.53	596	35.6751
CIMG2_000295-T1	2406	2232.11	308	13.4756
CIMG2_000296-T1	4951	4780.39	868.654	17.7458
CIMG2_000297-T1	945	827.247	1.34615	0.158918
CIMG2_000298-T1	3300	3236.54	258	7.78488
CIMG2_000299-T1	3582	3417.79	146	4.17178
CIMG2_000300-T1	480	257.369	52	19.7315
CIMG2_000301-T1	882	636.071	521	79.9918
CIMG2_000302-T1	1875	1598.36	691	42.2199
CIMG2_000303-T1	1179	1040.91	11	1.03203
CIMG2_000304-T1	600	411.207	494	117.322
CIMG2_000305-T1	1644	1418.17	469	32.2966
CIMG2_000306-T1	2376	2137.56	175	7.99526
CIMG2_000307-T1	1851	1547.63	120	7.57231
CIMG2_000308-T1	2806	2566.46	1191	45.3201
CIMG2_000309-T1	1062	826.187	0	0
CIMG2_000310-T1	2330	2178.87	328.814	14.7378
CIMG2_000310-T2	3138	2937.68	121.965	4.05455
CIMG2_000311-T1	1395	1137.76	493.221	42.3355
CIMG2_000312-T1	702	462.667	328	69.2339
CIMG2_000313-T1	840	636.421	88	13.5037
CIMG2_000314-T1	393	183.611	45	23.9346
CIMG2_000315-T1	89	19.6325	3	14.9231
CIMG2_000316-T1	1552	1318.99	21	1.55486
CIMG2_000317-T1	780	517.076	27.368	5.16894
CIMG2_000318-T1	2576	2217.61	2027.63	89.2929
CIMG2_000319-T1	786	556.672	1735	304.378
CIMG2_000320-T1	255	83.9206	28	32.5839
CIMG2_000321-T1	1621	1311.63	559	41.6213
CIMG2_000322-T1	1167	931.231	567	59.462
CIMG2_000323-T1	1989	1781.62	85	4.65927
CIMG2_000324-T1	216	61.3638	1946	3097.02
CIMG2_000325-T1	1443	1215.27	253	20.3311
CIMG2_000326-T1	1140	908.431	398	42.7863
CIMG2_000327-T1	1581	1353.92	86	6.20325
CIMG2_000328-T1	1781	1482.04	198.17	13.0584
CIMG2_000328-T2	1865	1563.85	60.8299	3.79872
CIMG2_000329-T1	2686	2350.96	840.509	34.9149
CIMG2_000329-T2	2903	2575.54	435.491	16.5129
CIMG2_000330-T1	2066	1891.42	1673	86.3816
CIMG2_000331-T1	354	152.803	641	409.674
CIMG2_000332-T1	786	568.388	32	5.49817
CIMG2_000333-T1	903	651.113	100	14.9988
CIMG2_000334-T1	327	132.426	298	219.763
CIMG2_000335-T1	1326	1079.68	1860	168.24
CIMG2_000336-T1	420	205.864	12	5.69265
CIMG2_000337-T1	2368	2176.65	45	2.01901
CIMG2_000338-T1	1095	942.235	426	44.1534
CIMG2_000339-T1	504	284.788	336	115.221
CIMG2_000340-T1	432	215.965	57	25.7754
CIMG2_000341-T1	297	110.83	348	306.645
CIMG2_000342-T1	180	43.2276	410	926.266
CIMG2_000343-T1	1953	1802.73	37522	2032.68
CIMG2_000344-T1	663	472.567	40	8.26628
CIMG2_000345-T1	1327	1015.55	21.452	2.06291
CIMG2_000345-T2	1060	772.44	15.5727	1.96885
CIMG2_000345-T3	1272	959.937	13.9753	1.42177
CIMG2_000346-T1	669	412.53	36	8.52238
CIMG2_000347-T1	330	134.605	1.25637	0.911526
CIMG2_000348-T1	713	451.842	7.99439	1.72787
CIMG2_000348-T2	769	496.841	22.7492	4.4716
CIMG2_000349-T1	6654	6492.69	766	11.5217
CIMG2_000350-T1	396	186.051	3	1.57472
CIMG2_000351-T1	648	406.491	497	119.404
CIMG2_000352-T1	2714	2425.45	1377	55.4442
CIMG2_000353-T1	2169	1849.44	337.421	17.8174
CIMG2_000353-T2	2237	1911.14	50.5786	2.58457
CIMG2_000354-T1	2741	2406.11	96.1012	3.90056
CIMG2_000354-T2	2840	2482.71	156.206	6.14451
CIMG2_000354-T3	2856	2517.79	227.692	8.83165
CIMG2_000355-T1	1815	1577.26	1078	66.7465
CIMG2_000356-T1	1842	1756.64	200.794	11.163
CIMG2_000356-T2	1922	1843.63	42.2063	2.23571
CIMG2_000357-T1	318	125.77	41	31.8362
CIMG2_000358-T1	1374	1177.97	260	21.5553
CIMG2_000359-T1	657	407.141	181	43.4158
CIMG2_000360-T1	3940	3680.37	2347	62.2781
CIMG2_000361-T1	2250	2114.15	228	10.5321
CIMG2_000362-T1	411	198.394	839	412.997
CIMG2_000363-T1	2096	1800.7	3019	163.733
CIMG2_000364-T1	1263	1055.39	302	27.9453
CIMG2_000365-T1	339	141.214	11	7.60724
CIMG2_000366-T1	1842	1532.02	125	7.96818
CIMG2_000367-T1	1398	1220.19	664	53.1441
CIMG2_000368-T1	231	69.5733	43	60.3586
CIMG2_000369-T1	2870	2667.41	468.081	17.1374
CIMG2_000370-T1	2616	2519.23	786	30.4697
CIMG2_000371-T1	2679	2570.94	381	14.4726
CIMG2_000372-T1	162	35.5484	85	233.513
CIMG2_000373-T1	429	213.416	266	121.722
CIMG2_000374-T1	894	658.34	685	101.614
CIMG2_000375-T1	507	303.702	499	160.46
CIMG2_000376-T1	1641	1353.71	200	14.4283
CIMG2_000377-T1	4395	4186.43	2235	52.1372
CIMG2_000378-T1	1362	1236.99	105	8.28968
CIMG2_000379-T1	1356	1308.19	51	3.80728
CIMG2_000380-T1	4130	4053.5	676	16.2866
CIMG2_000381-T1	1281	1148.39	138	11.7355
CIMG2_000382-T1	783	567.928	130	22.3544
CIMG2_000383-T1	1338	1162.61	74	6.21602
CIMG2_000384-T1	1212	961.926	208	21.1171
CIMG2_000385-T1	1362	1148.78	379	32.2192
CIMG2_000386-T1	2370	2257.79	465	20.1132
CIMG2_000387-T1	1248	1073.53	116	10.5526
CIMG2_000388-T1	369	164.663	22	13.0479
CIMG2_000389-T1	1392	1227.44	553	43.9984
CIMG2_000390-T1	1361	1116.41	2558	223.763
CIMG2_000391-T1	1931	1762.48	2088	115.696
CIMG2_000392-T1	570	372.208	1364	357.883
CIMG2_000393-T1	3146	3147.9	50	1.55118
CIMG2_000394-T1	1269	1056.54	235	21.7217
CIMG2_000395-T1	768	559.526	157	27.4027
CIMG2_000396-T1	516	305.268	27	8.63764
CIMG2_000397-T1	1941	1698.86	1681	96.6324
CIMG2_000398-T1	879	634.898	302	46.4533
CIMG2_000399-T1	834	593.094	948	156.098
CIMG2_000400-T1	759	518.486	290	54.6228
CIMG2_000401-T1	312	121.472	124	99.6913
CIMG2_000402-T1	1979	1757.59	61	3.38942
CIMG2_000403-T1	342	143.393	560.247	381.563
CIMG2_000404-T1	4633	4380.77	1777.75	39.6309
CIMG2_000405-T1	795	483.663	5053	1020.28
CIMG2_000406-T1	1504	1304.73	1073	80.3142
CIMG2_000407-T1	1725	1506.36	744	48.2344
CIMG2_000408-T1	1848	1587.65	182	11.1952
CIMG2_000409-T1	963	732.068	87	11.606
CIMG2_000410-T1	447	228.745	486	207.491
CIMG2_000411-T1	2610	2413.37	562	22.7418
CIMG2_000412-T1	996	798.081	263	32.1827
CIMG2_000413-T1	1377	1170.69	314	26.194
CIMG2_000414-T1	2460	2212.62	980	43.2546
CIMG2_000415-T1	1440	1221.15	850	67.9773
CIMG2_000416-T1	1437	1243.74	261	20.4938
CIMG2_000417-T1	74	20.3169	0.25	1.2017
CIMG2_000418-T1	2884	2605.33	209	7.83424
CIMG2_000419-T1	1416	1272.48	738	56.6394
CIMG2_000420-T1	474	253.665	31	11.9348
CIMG2_000421-T1	1296	1074.69	265	24.0812
CIMG2_000422-T1	1132	923.776	974	102.969
CIMG2_000423-T1	1302	1097.08	639	56.8823
CIMG2_000424-T1	1218	1024.01	370	35.2868
CIMG2_000425-T1	369	164.663	22	13.0479
CIMG2_000426-T1	72	20.0338	8	38.9978
CIMG2_000427-T1	1049	785.439	12	1.49205
CIMG2_000428-T1	72	20.0338	8	38.9978
CIMG2_000429-T1	450	220.761	1041	460.512
CIMG2_000430-T1	1556	1373.41	294.152	20.9164
CIMG2_000430-T2	1618	1435.45	21.8477	1.48639
CIMG2_000431-T1	501	293.852	56	18.6111
CIMG2_000432-T1	633	387.346	261	65.8044
CIMG2_000433-T1	1950	1747.9	1940	108.393
CIMG2_000434-T1	1956	1683.02	896	51.9913
CIMG2_000435-T1	1014	803.043	1799	218.779
CIMG2_000436-T1	318	125.77	32	24.8478
CIMG2_000437-T1	327	132.426	83	61.2092
CIMG2_000438-T1	94	19.4065	4	20.1292
CIMG2_000439-T1	1656	1487.73	1728	113.431
CIMG2_000440-T1	1581	1333.25	38	2.78347
CIMG2_000441-T1	2162	1883.37	62	3.21492
CIMG2_000442-T1	825	573.875	144	24.5052
CIMG2_000443-T1	5049	4817.29	567	11.4946
CIMG2_000444-T1	723	472.367	45	9.3035
CIMG2_000445-T1	213	59.67	13	21.2765
CIMG2_000446-T1	1680	1411.4	56	3.87481
CIMG2_000447-T1	1916	1599.73	55	3.3576
CIMG2_000449-T1	1964	1684.92	510	29.56
CIMG2_000450-T1	926	657.921	18	2.67185
CIMG2_000451-T1	459	251.194	14.1858	5.51516
CIMG2_000452-T1	1840	1591.5	393.814	24.1656
CIMG2_000453-T1	2653	2404.92	12	0.487298
CIMG2_000453-T2	2257	1990.77	0	0
CIMG2_000454-T1	2385	2197.31	1232	54.7563
CIMG2_000455-T1	306	117.191	28	23.3334
CIMG2_000456-T1	342	143.393	24	16.3455
CIMG2_000457-T1	4593	4400.37	165	3.66192
CIMG2_000458-T1	2774	2415.4	840	33.9629
CIMG2_000459-T1	6068	5737.7	487.159	8.29174
