"","Mycelia.r1","Mycelia.r2","Spherule48H.r1","Spherule48H.r2","Spherule8D.r1","Spherule8D.r2"
"CIMG2_000001-T1",1.43838441656521,0.946198448446331,3.38420787239702,3.88134385783156,5.35979631126831,6.33866825369423
"CIMG2_000002-T1",99.4060491971968,125.613341798763,1.83163751962527,2.8100990387567,12.1986935715598,12.1837025043727
"CIMG2_000003-T1",20.7150146741999,21.7124348857479,14.1804148741248,16.9903394738919,25.3718288941126,14.6928514064649
"CIMG2_000004-T1",5.35014205282413,14.5574165560167,2.52129234215944,4.7936982164903,3.36873960484541,3.5744001070631
"CIMG2_000004-T2",30.2358409196507,27.9329308616443,1.63488165277067,2.32084642270377,3.52525605016297,1.05763157952954
"CIMG2_000004-T3",1.32645845050807,2.16772619618125e-05,8.58577297474562,3.98699023676302,5.05540009011827,9.32794228848339
"CIMG2_000004-T4",20.4965114224503,18.9235650846355,0,0,0,0
"CIMG2_000005-T1",31.702713723331,24.8995102274967,8.10065817514356,12.4231276223385,3.36626272077854,1.49413140848446
"CIMG2_000006-T1",15.4711014722948,10.0970085442872,4.28487191420592,3.00185661633676,3.77251515945562,0.566886441723925
"CIMG2_000007-T1",62.7100044465391,86.8638424680504,259.365612896138,246.827308369846,196.73949521917,256.346722557531
"CIMG2_000008-T1",17.5669401694987,16.136143347606,53.7858703317033,49.9894488489306,77.9005406050249,97.3295387866273
"CIMG2_000009-T1",24.7851476976934,27.4988131806669,55.1750100503382,48.1253574453787,60.3541903961781,36.6428025414876
"CIMG2_000010-T1",1.61370042258893,5.71822212856733,17.9228251730859,16.4939644287717,24.7567111165041,21.9221124912455
"CIMG2_000011-T1",0,1.3105005382893,25.3145567973236,20.9640278626962,20.1975763246712,22.411971127267
"CIMG2_000012-T1",1.33039714808711,4.77849201297278,23.4527436925202,19.34060275992,91.6099740108432,76.9432600803833
"CIMG2_000013-T1",2.85379502735156,2.6115910645685,3.73158327643156,4.6591375294959,3.15212373728404,1.1515304116223
"CIMG2_000014-T1",0,0.539197789689044,2.5667808583942,0.206852457276182,0,0.999890995410229
"CIMG2_000015-T1",0.275732365606567,0.867547148753498,1.77892545930744,1.4593000947976,2.97106300374232,2.20642926139315
"CIMG2_000016-T1",2.35069566482604,2.12432829704318,5.74629819402593,11.9609975002674,13.6898947877539,15.8346579885289
"CIMG2_000017-T1",0,0.142359574940523,6.61301256827229,7.48258680379634,8.18865629351931,8.37523769365179
"CIMG2_000018-T1",0,0.559519032964283,3.82126385310721,4.52846193310416,3.75335778168957,0
"CIMG2_000019-T1",9.86771956896028,7.72331020250233,14.7182406583489,15.678917402816,10.5325429270585,7.85914230981717
"CIMG2_000020-T1",24.4589995010897,19.8948831320798,35.384242012835,47.5030946035356,42.3388668030909,29.1935006343636
"CIMG2_000021-T1",15.338049975339,22.3279885060411,38.8451582263381,51.9249450185433,88.2641261162192,65.6595029430973
"CIMG2_000022-T1",33.7807981542982,22.8133138596567,85.0299153520263,86.5856233285066,106.212346167408,96.5882252513546
"CIMG2_000023-T1",14.6187504288911,13.1735920580292,19.8247735740114,18.7248367681735,17.6584794825719,20.5686845908834
"CIMG2_000024-T1",0,0,0.275150794562118,0,0.750958233781853,0.437371041264271
"CIMG2_000025-T1",23.1482467169749,26.2793364887536,49.403788146562,46.9558669552308,40.1319809385159,34.0765133958381
"CIMG2_000026-T1",5.76412976787837,2.6210010765786,54.679442682219,29.5049281030538,132.967377470752,152.401403665415
"CIMG2_000027-T1",5.95039967662691,5.53541786970817,68.6746414352579,44.6015761028371,215.969537453862,248.997852032281
"CIMG2_000028-T1",49.4169849792312,45.169787709295,93.4384801674034,97.9732595722411,79.9252253583949,77.3066898476691
"CIMG2_000029-T1",114.543292877426,176.955984957309,146.680172179469,131.679984555646,130.633876761735,137.25323514492
"CIMG2_000030-T1",99.1260555143769,101.203323095203,130.981031945603,139.025101371096,150.940437018261,152.531868206629
"CIMG2_000031-T1",0,0,0,0,0,6.48744458541414
"CIMG2_000032-T1",1.61623741906695,1.87276737287738,22.2268368918822,18.3942776500832,33.3059069656092,38.978607864601
"CIMG2_000033-T1",4.92560777675183,5.78535974532538,23.5730662984969,26.1721600026887,24.6678199445821,33.3914669810161
"CIMG2_000034-T1",6.20744407931099,6.41718865789186,14.9953691408009,15.5916554620035,17.0391505245907,17.8744591849714
"CIMG2_000035-T1",7.26103049201821,6.09722079003088,27.4646423023671,29.5982856886843,30.4026759284475,25.2114503807241
"CIMG2_000036-T1",25.1137497781663,21.0405201828667,27.0626146307706,27.4539654213891,6.28738814053636,5.68588945486189
"CIMG2_000037-T1",40.9783303435765,26.8031980132739,57.6460602430471,63.7757944702969,59.9649787863062,56.7872784713581
"CIMG2_000038-T1",3.75185990282722,3.64039457863824,12.6599412637005,9.74131155535974,37.7057586415034,29.8697497937725
"CIMG2_000039-T1",13.5188316562652,14.1202969474346,13.3726779958557,17.6962601036709,22.5247133434284,18.3855272829961
"CIMG2_000040-T1",20.7242761307864,15.9822991880915,21.9151036437322,24.0252894931444,16.2689252398375,15.2009146113197
"CIMG2_000041-T1",47.5750567750295,33.4027379593692,167.49816081686,184.258795963806,49.3674022354998,35.3141614815273
"CIMG2_000042-T1",10.1029513939255,9.41157808621611,9.48088594820643,14.9109493511358,11.1424148672698,9.03794066697445
"CIMG2_000043-T1",0,0,0,0,0,0
"CIMG2_000044-T1",40.9135738984318,36.3532283851374,91.7001840370714,89.1349290668712,16.5509701703458,12.132715204318
"CIMG2_000045-T1",7.52050766988465,6.4849319127406,15.9369059494182,16.6827829754966,11.6636581180152,11.4438718944926
"CIMG2_000046-T1",16.008409907466,12.6048724614344,22.7741344978271,25.049196274614,11.5278508470094,10.1985938981903
"CIMG2_000047-T1",50.9342810934038,45.2743013299105,71.9420358688155,68.4464033084804,48.0223608329799,39.6082943159622
"CIMG2_000048-T1",37.2126481870488,32.3896235798272,34.5836376329272,44.3176724328431,25.7629637877809,20.6088956237619
