"","Mycelia.r1","Mycelia.r2","Spherule48H.r1","Spherule48H.r2","Spherule8D.r1","Spherule8D.r2"
"CIMG_00013-t26_1",5.27375368084161,22.1696534087454,20.4713854008736,15.8622603199163,43.7993904479172,62.9588421014298
"CIMG_00034-t26_1",24.5144624132599,28.1381019266323,23.6879642107495,24.401250595797,21.853448135096,18.4590515393196
"CIMG_00035-t26_1",84.9016427839732,108.221790254279,81.4277907891411,86.8693174172576,16.7379145317357,14.1048788144529
"CIMG_00036-t26_1",15.3135896750234,18.5650417378054,30.7827463858605,34.4065270573608,9.0799049958873,9.4625594169339
"CIMG_00037-t26_1",15.887403963154,21.4892687551714,45.9476974406667,47.1535775897536,38.5561560430222,48.1189604466222
"CIMG_00038-t26_1",18.1723517582792,20.5508395686622,51.8569466080216,53.5245754306078,37.8072633977295,41.4062715696274
"CIMG_00039-t26_1",3.36045807413934,6.71174333192115,6.22604056679106,4.39101777780865,12.0707055799665,9.74953440735967
"CIMG_00040-t26_1",3.78188963985621,4.03136640487757,8.70702431116044,10.0099973602541,3.8339785310542,5.13145510151526
"CIMG_00042-t26_1",5.24538547197215,6.41365192427201,15.7876652514668,17.0920524958286,6.31050374367132,4.88733981984672
"CIMG_00043-t26_1",8.70172566615376,16.4193688581537,36.3033691306964,45.782965270358,22.3969437273094,24.8315080248336
"CIMG_00044-t26_1",22.6406749605148,29.3417895221371,25.8445107074897,28.8615423191275,13.1943856727476,11.2190974519271
"CIMG_00045-t26_1",2.94484875703066,1.73380618100562,4.73957656304209,5.25550009191491,3.47701595890719,2.8307357887941
"CIMG_00046-t26_1",7.58963259332895,10.5794864226155,12.477318824993,11.4400136407103,8.25711613748043,6.92144564143621
"CIMG_00047-t26_1",6.83519173432159,8.25444543365905,30.190595126645,32.4255108941803,6.95500819817232,5.58574649957971
"CIMG_00048-t26_1",6.14771244593517,9.74896425361157,35.3647045274548,37.5410212160504,14.082703060106,15.3240868604099
"CIMG_00053-t26_1",0,0,3.19887114116961,0.497093147343767,1.46766800343857,0.71486945255703
"CIMG_00063-t26_1",19.967294369291,27.1845480571846,82.6377314357178,86.0166148640316,51.8300873694244,49.1042747574002
"CIMG_00064-t26_1",13.3368432568876,17.8425229485658,74.0807059985522,79.4408898809249,45.3399479689972,33.6765608597288
"CIMG_00065-t26_1",9.81108949774595,11.7499077217136,12.346811428961,15.3929332735907,8.31727828913483,6.59436980384846
"CIMG_00066-t26_1",5.25107029907598,6.46454453747687,20.4749657320655,18.3267307156168,15.6180751058743,15.3615063337652
"CIMG_00067-t26_1",11.4977924969503,16.679507504388,4.51626428231392,2.97040230107765,2.10862808722476,1.85407233037567
"CIMG_00068-t26_1",23.2373088581004,23.6025160258806,15.331852515661,15.8396686841405,9.92104411706934,7.91155094545069
"CIMG_00070-t26_1",4.59520835738036,4.60897790230914,6.28368660143123,6.68773533868492,2.5102977355192,2.23966650567677
"CIMG_00073-t26_1",32.6458882604654,35.0805219036549,134.310069870567,150.349944088445,127.449756501011,108.338807339214
"CIMG_00075-t26_1",3.00279214911534,4.17737247732526,9.98815027983478,12.1705216841172,3.66687554033276,3.99286116905156
"CIMG_00076-t26_1",132.639575731254,230.377263102235,338.423985631517,373.40307985277,166.631505800568,206.983695107203
"CIMG_00078-t26_1",1.17773105355922,1.85305462200813,4.42787240097113,4.54298062586023,4.05670371489084,3.90585756610742
"CIMG_00080-t26_1",94.2566465076367,138.065422570138,28.0139708080241,26.2191105184953,12.9161622934644,11.016481124131
"CIMG_00082-t26_1",5.24901770465657,7.95234983195363,8.6082882320118,8.76418469284564,4.24957780635646,4.77419897094008
"CIMG_00083-t26_1",13.4450886321517,21.1566953922971,7.87046093380593,7.14814045022676,9.07313883913012,7.40775942894819
"CIMG_00084-t26_1",66.1105712154265,91.1053322881677,64.3628223373254,72.3049583789652,26.6702128116828,23.3820263060885
"CIMG_00086-t26_1",1.89767208040042,2.21584151937179,3.86178308661114,4.89896136210415,0.523063730217978,0.532522265865962
"CIMG_00087-t26_1",3.05115841441372,1.80768999465123,1.34930698061757,2.29708460817742,0.695598351179812,0.638640738461386
"CIMG_00088-t26_1",66.7795905463368,86.6718457624724,8.58634126599359,9.15434452208366,9.8287011483096,8.13567702439009
"CIMG_00089-t26_1",10.9230204338395,13.6892951034486,2.94764415703117,4.87525479852494,3.43366972148484,0.994472736257783
